,filename,num_rows,filesize_MB,central_ra,central_dec
0,chunk_ra_333.5_dec_-31.5_table.h5,9421,2.0982770919799805,333.5,-31.5
1,chunk_ra_253.5_dec_-31.5_table.h5,112880,13.779687881469728,253.5,-31.5
2,chunk_ra_31.5_dec_-28.5_table.h5,45168,6.41832447052002,31.5,-28.5
3,chunk_ra_38.5_dec_-30.5_table.h5,45764,6.380528450012207,38.5,-30.5
4,chunk_ra_287.5_dec_-31.5_table.h5,66446,8.749484062194824,287.5,-31.5
5,chunk_ra_65.5_dec_-29.5_table.h5,40685,5.842234611511231,65.5,-29.5
6,chunk_ra_279.5_dec_-30.5_table.h5,325732,37.90162658691406,279.5,-30.5
7,chunk_ra_169.5_dec_-28.5_table.h5,52439,7.405261039733887,169.5,-28.5
8,chunk_ra_271.5_dec_-28.5_table.h5,859109,98.90888214111328,271.5,-28.5
9,chunk_ra_204.5_dec_-31.5_table.h5,2537,1.3314847946166992,204.5,-31.5
10,chunk_ra_283.5_dec_-31.5_table.h5,47739,6.457212448120117,283.5,-31.5
11,chunk_ra_81.5_dec_-29.5_table.h5,52183,7.317227363586426,81.5,-29.5
12,chunk_ra_120.5_dec_-29.5_table.h5,181313,21.59601879119873,120.5,-29.5
13,chunk_ra_78.5_dec_-31.5_table.h5,9584,2.1021547317504883,78.5,-31.5
14,chunk_ra_15.5_dec_-31.5_table.h5,966,1.185598373413086,15.5,-31.5
15,chunk_ra_136.5_dec_-29.5_table.h5,89763,11.77226448059082,136.5,-29.5
16,chunk_ra_110.5_dec_-31.5_table.h5,32603,4.81033992767334,110.5,-31.5
17,chunk_ra_336.5_dec_-29.5_table.h5,57066,7.875764846801758,336.5,-29.5
18,chunk_ra_304.5_dec_-30.5_table.h5,81788,10.74423122406006,304.5,-30.5
19,chunk_ra_203.5_dec_-30.5_table.h5,44200,6.344708442687988,203.5,-30.5
20,chunk_ra_34.5_dec_-30.5_table.h5,51296,7.017767906188965,34.5,-30.5
21,chunk_ra_316.5_dec_-28.5_table.h5,55359,7.771688461303711,316.5,-28.5
22,chunk_ra_74.5_dec_-28.5_table.h5,43499,6.229217529296875,74.5,-28.5
23,chunk_ra_324.5_dec_-30.5_table.h5,50537,7.039059638977051,324.5,-30.5
24,chunk_ra_167.5_dec_-29.5_table.h5,57547,8.039377212524414,167.5,-29.5
25,chunk_ra_196.5_dec_-29.5_table.h5,59242,8.225789070129395,196.5,-29.5
26,chunk_ra_133.5_dec_-30.5_table.h5,93167,12.046658515930176,133.5,-30.5
27,chunk_ra_159.5_dec_-29.5_table.h5,57229,7.974196434020996,159.5,-29.5
28,chunk_ra_132.5_dec_-30.5_table.h5,110302,14.156155586242676,132.5,-30.5
29,chunk_ra_303.5_dec_-30.5_table.h5,86601,11.302318572998049,303.5,-30.5
30,chunk_ra_9.5_dec_-31.5_table.h5,5471,1.6462287902832031,9.5,-31.5
31,chunk_ra_151.5_dec_-31.5_table.h5,6503,1.8171148300170896,151.5,-31.5
32,chunk_ra_144.5_dec_-32.5_table.h5,1435,1.2379961013793943,144.5,-32.5
33,chunk_ra_215.5_dec_-30.5_table.h5,44291,6.27863883972168,215.5,-30.5
34,chunk_ra_147.5_dec_-28.5_table.h5,66070,9.067484855651855,147.5,-28.5
35,chunk_ra_231.5_dec_-28.5_table.h5,85741,11.14371395111084,231.5,-28.5
36,chunk_ra_40.5_dec_-28.5_table.h5,50053,6.902470588684082,40.5,-28.5
37,chunk_ra_258.5_dec_-30.5_table.h5,651898,72.95096969604492,258.5,-30.5
38,chunk_ra_32.5_dec_-31.5_table.h5,2021,1.2672176361083984,32.5,-31.5
39,chunk_ra_12.5_dec_-29.5_table.h5,50024,6.94166374206543,12.5,-29.5
40,chunk_ra_244.5_dec_-28.5_table.h5,179627,21.519466400146484,244.5,-28.5
41,chunk_ra_238.5_dec_-28.5_table.h5,131455,16.52962589263916,238.5,-28.5
42,chunk_ra_82.5_dec_-31.5_table.h5,12197,2.386381149291992,82.5,-31.5
43,chunk_ra_37.5_dec_-29.5_table.h5,47344,6.605419158935547,37.5,-29.5
44,chunk_ra_169.5_dec_-31.5_table.h5,8844,2.063892364501953,169.5,-31.5
45,chunk_ra_174.5_dec_-30.5_table.h5,57520,7.98781681060791,174.5,-30.5
46,chunk_ra_271.5_dec_-30.5_table.h5,543645,61.86492156982422,271.5,-30.5
47,chunk_ra_83.5_dec_-28.5_table.h5,50444,7.0817413330078125,83.5,-28.5
48,chunk_ra_151.5_dec_-30.5_table.h5,57055,7.854526519775391,151.5,-30.5
49,chunk_ra_44.5_dec_-28.5_table.h5,43332,6.1366119384765625,44.5,-28.5
50,chunk_ra_289.5_dec_-29.5_table.h5,221282,26.665785789489743,289.5,-29.5
51,chunk_ra_282.5_dec_-30.5_table.h5,353903,40.56377029418945,282.5,-30.5
52,chunk_ra_256.5_dec_-29.5_table.h5,652982,73.25727558135986,256.5,-29.5
53,chunk_ra_225.5_dec_-29.5_table.h5,83006,11.037999153137209,225.5,-29.5
54,chunk_ra_11.5_dec_-28.5_table.h5,44890,6.303163528442383,11.5,-28.5
55,chunk_ra_338.5_dec_-28.5_table.h5,53339,7.439273834228516,338.5,-28.5
56,chunk_ra_280.5_dec_-28.5_table.h5,522034,58.62646007537842,280.5,-28.5
57,chunk_ra_191.5_dec_-28.5_table.h5,64840,8.919760704040527,191.5,-28.5
58,chunk_ra_1.5_dec_-29.5_table.h5,46671,6.596212387084961,1.5,-29.5
59,chunk_ra_200.5_dec_-30.5_table.h5,24417,3.949329376220703,200.5,-30.5
60,chunk_ra_285.5_dec_-29.5_table.h5,365964,41.85064029693604,285.5,-29.5
61,chunk_ra_136.5_dec_-31.5_table.h5,24639,3.881772041320801,136.5,-31.5
62,chunk_ra_230.5_dec_-30.5_table.h5,100644,13.068113327026367,230.5,-30.5
63,chunk_ra_138.5_dec_-31.5_table.h5,50789,6.9995880126953125,138.5,-31.5
64,chunk_ra_152.5_dec_-31.5_table.h5,2137,1.3340778350830078,152.5,-31.5
65,chunk_ra_218.5_dec_-30.5_table.h5,55921,7.7231903076171875,218.5,-30.5
66,chunk_ra_15.5_dec_-28.5_table.h5,54644,7.524778366088867,15.5,-28.5
67,chunk_ra_196.5_dec_-31.5_table.h5,13884,2.679534912109375,196.5,-31.5
68,chunk_ra_343.5_dec_-29.5_table.h5,56165,7.772417068481445,343.5,-29.5
69,chunk_ra_176.5_dec_-29.5_table.h5,54577,7.645486831665039,176.5,-29.5
70,chunk_ra_187.5_dec_-31.5_table.h5,11584,2.382754325866699,187.5,-31.5
71,chunk_ra_55.5_dec_-28.5_table.h5,45379,6.430109977722168,55.5,-28.5
72,chunk_ra_314.5_dec_-30.5_table.h5,51991,7.302397727966309,314.5,-30.5
73,chunk_ra_216.5_dec_-28.5_table.h5,63716,8.793976783752441,216.5,-28.5
74,chunk_ra_177.5_dec_-30.5_table.h5,61182,8.355762481689453,177.5,-30.5
75,chunk_ra_7.5_dec_-28.5_table.h5,46850,6.552264213562012,7.5,-28.5
76,chunk_ra_158.5_dec_-29.5_table.h5,61379,8.43884563446045,158.5,-29.5
77,chunk_ra_249.5_dec_-29.5_table.h5,293512,33.06956386566162,249.5,-29.5
78,chunk_ra_132.5_dec_-28.5_table.h5,104438,13.443284034729004,132.5,-28.5
79,chunk_ra_350.5_dec_-29.5_table.h5,50145,7.010961532592773,350.5,-29.5
80,chunk_ra_114.5_dec_-30.5_table.h5,174503,21.148218154907227,114.5,-30.5
81,chunk_ra_346.5_dec_-30.5_table.h5,41149,5.93635368347168,346.5,-30.5
82,chunk_ra_277.5_dec_-28.5_table.h5,696132,76.91677761077881,277.5,-28.5
83,chunk_ra_37.5_dec_-28.5_table.h5,45441,6.360968589782715,37.5,-28.5
84,chunk_ra_121.5_dec_-28.5_table.h5,172161,20.81294345855713,121.5,-28.5
85,chunk_ra_152.5_dec_-29.5_table.h5,66226,9.096312522888184,152.5,-29.5
86,chunk_ra_254.5_dec_-31.5_table.h5,31438,4.536168098449707,254.5,-31.5
87,chunk_ra_126.5_dec_-28.5_table.h5,134050,16.663105010986328,126.5,-28.5
88,chunk_ra_172.5_dec_-31.5_table.h5,3178,1.4385366439819336,172.5,-31.5
89,chunk_ra_256.5_dec_-28.5_table.h5,603157,67.34743022918701,256.5,-28.5
90,chunk_ra_352.5_dec_-28.5_table.h5,44230,6.2799177169799805,352.5,-28.5
91,chunk_ra_54.5_dec_-28.5_table.h5,41076,5.933152198791504,54.5,-28.5
92,chunk_ra_282.5_dec_-29.5_table.h5,496627,56.247437477111816,282.5,-29.5
93,chunk_ra_2.5_dec_-29.5_table.h5,52645,7.288702964782715,2.5,-29.5
94,chunk_ra_217.5_dec_-30.5_table.h5,81928,10.894403457641602,217.5,-30.5
95,chunk_ra_103.5_dec_-30.5_table.h5,46946,6.649304389953613,103.5,-30.5
96,chunk_ra_38.5_dec_-31.5_table.h5,2955,1.4123058319091797,38.5,-31.5
97,chunk_ra_151.5_dec_-29.5_table.h5,63154,8.712615013122559,151.5,-29.5
98,chunk_ra_168.5_dec_-30.5_table.h5,26383,4.188126564025879,168.5,-30.5
99,chunk_ra_48.5_dec_-31.5_table.h5,7917,1.927151679992676,48.5,-31.5
100,chunk_ra_269.5_dec_-31.5_table.h5,24902,3.936406135559082,269.5,-31.5
101,chunk_ra_64.5_dec_-31.5_table.h5,20792,3.3909568786621094,64.5,-31.5
102,chunk_ra_92.5_dec_-28.5_table.h5,64651,8.879247665405273,92.5,-28.5
103,chunk_ra_94.5_dec_-31.5_table.h5,44358,6.205930709838867,94.5,-31.5
